transaction_id,user_id,age,timestamp,hour,day_of_week,amount,distance_from_home,category,device,is_fraud,amount_category,transactions_per_user,avg_transaction_amount,time_since_last_tx,tx_velocity_1h
TX008805,USR000,43,2026-05-01 19:22:56,19,4,53.9,0.55,online_retail,mobile,0,Medium,1,53.9,-1.0,0
TX009139,USR000,43,2026-05-01 22:22:08,22,4,7.33,1.5,online_retail,pos,0,Low,2,30.62,179.2,0
TX005755,USR000,43,2026-05-03 15:18:14,15,6,8.52,68.78,grocery,pos,0,Low,3,23.25,2456.1,0
TX004937,USR000,43,2026-05-03 19:47:22,19,6,22.88,6.24,online_retail,mobile,0,Medium,4,23.16,269.13,0
TX010565,USR000,43,2026-05-04 16:42:26,16,0,206.15,2.75,gas,mobile,0,High,5,59.76,1255.07,0
TX011705,USR000,43,2026-05-05 07:55:54,7,1,14.13,11.63,entertainment,web,0,Low,6,52.15,913.47,0
TX001167,USR000,43,2026-05-07 04:35:40,4,3,26.89,1.75,grocery,pos,0,Medium,7,48.54,2679.77,0
TX004513,USR000,43,2026-05-08 01:46:44,1,4,19.37,0.36,entertainment,pos,0,Low,8,44.9,1271.07,0
TX008349,USR000,43,2026-05-08 07:31:24,7,4,19.03,6.86,entertainment,pos,0,Low,9,42.02,344.67,0
TX013250,USR000,43,2026-05-09 07:38:48,7,5,39.58,1.86,entertainment,web,0,Medium,10,41.78,1447.4,0
TX007147,USR000,43,2026-05-09 16:40:47,16,5,134.39,5.06,grocery,pos,0,High,11,50.2,541.98,0
TX002720,USR000,43,2026-05-10 01:07:07,1,6,52.25,6.65,grocery,pos,0,Medium,12,50.37,506.33,0
TX008562,USR000,43,2026-05-11 05:37:28,5,0,14.83,5.32,gas,web,1,Low,13,47.63,1710.35,0
TX001397,USR000,43,2026-05-12 03:43:33,3,1,519.69,0.58,entertainment,mobile,0,Critical,14,81.35,1326.08,0
TX001576,USR000,43,2026-05-12 12:41:54,12,1,35.82,4.63,services,mobile,0,Medium,15,78.32,538.35,0
TX009065,USR000,43,2026-05-13 05:21:25,5,2,18.59,7.64,online_retail,pos,0,Low,16,74.58,999.52,0
TX002835,USR000,43,2026-05-14 08:25:35,8,3,135.92,0.84,entertainment,pos,0,High,17,78.19,1624.17,0
TX008338,USR000,43,2026-05-14 18:31:12,18,3,20.72,0.72,grocery,mobile,0,Medium,18,75.0,605.62,0
TX014512,USR000,43,2026-05-14 23:55:32,23,3,174.67,1.24,online_retail,mobile,0,High,19,80.25,324.33,0
TX013321,USR000,43,2026-05-15 04:50:17,4,4,13.86,10.98,grocery,pos,0,Low,20,76.93,294.75,0
TX000930,USR000,43,2026-05-15 16:31:27,16,4,138.38,0.41,gas,web,0,High,21,79.85,701.17,0
TX004237,USR000,43,2026-05-16 02:39:59,2,5,40.49,12.13,grocery,pos,0,Medium,22,78.06,608.53,0
TX009227,USR000,43,2026-05-19 02:42:12,2,1,120.43,7.17,grocery,pos,0,High,23,79.91,4322.22,0
TX014815,USR000,43,2026-05-19 23:59:26,23,1,221.8,3.29,grocery,pos,0,High,24,85.82,1277.23,0
TX000891,USR000,43,2026-05-20 19:36:48,19,2,10.67,0.76,online_retail,pos,0,Low,25,82.81,1177.37,0
TX010187,USR000,43,2026-05-23 11:20:57,11,5,118.6,1.72,gas,pos,0,High,26,84.19,3824.15,0
TX000609,USR000,43,2026-05-25 02:23:34,2,0,8.09,11.45,grocery,pos,0,Low,27,81.37,2342.62,0
TX002754,USR000,43,2026-05-26 16:13:18,16,1,11.62,20.25,online_retail,pos,0,Low,28,78.88,2269.73,0
TX001040,USR000,43,2026-05-27 08:47:21,8,2,14.83,1.3,grocery,pos,0,Low,29,76.67,994.05,0
TX001344,USR000,43,2026-05-27 22:48:01,22,2,54.8,17.64,online_retail,mobile,0,Medium,30,75.94,840.67,0
TX011146,USR000,43,2026-05-28 20:08:23,20,3,34.23,10.21,grocery,pos,0,Medium,31,74.6,1280.37,0
TX009482,USR000,43,2026-05-30 14:50:01,14,5,28.02,4.45,online_retail,mobile,0,Medium,32,73.14,2561.63,0
TX011680,USR001,37,2026-05-04 11:37:42,11,0,38.33,1.85,online_retail,web,0,Medium,1,38.33,-1.0,0
TX011218,USR001,37,2026-05-05 18:23:52,18,1,59.82,2.23,grocery,web,0,Medium,2,49.08,1846.17,0
TX000278,USR001,37,2026-05-06 19:17:23,19,2,64.6,39.95,online_retail,pos,0,Medium,3,54.25,1493.52,0
TX014387,USR001,37,2026-05-07 00:27:07,0,3,98.91,5.55,online_retail,pos,0,Medium,4,65.41,309.73,0
TX004001,USR001,37,2026-05-07 02:58:07,2,3,204.39,22.11,online_retail,pos,1,High,5,93.21,151.0,0
TX002667,USR001,37,2026-05-08 04:24:16,4,4,32.42,5.99,online_retail,pos,0,Medium,6,83.08,1526.15,0
TX011204,USR001,37,2026-05-08 09:21:06,9,4,19.67,2.6,online_retail,pos,0,Low,7,74.02,296.83,0
